input_title,input_year,found_in_tmdb,tmdb_id,title,release_date,runtime,genres,directors,cast,keywords,production_companies,original_language,budget,revenue
#AMFAD: All My Friends Are Dead,Unknown,True,1090323,#AMFAD: All My Friends Are Dead,2024-08-29,91,Horror; Comedy; Thriller,Marcus Dunstan,Jade Pettyjohn; JoJo Siwa; Jennifer Ens; Ali Fumiko Whitney; Michaella Russell; Julian Haig; Justin Derickson; Cardi Wong; Jack Doupe-Smith; Peter Graham-Gaudreau,serial killer; college student; college friends; revenge slasher; stalked by a killer,Roundtable Entertainment; Digital Riot Media; Film Mode Entertainment,en,0,0
(500) Days of Summer,Unknown,True,19913,(500) Days of Summer,2009-07-17,95,Comedy; Drama; Romance,Marc Webb,Joseph Gordon-Levitt; Zooey Deschanel; Geoffrey Arend; Chloë Grace Moretz; Matthew Gray Gubler; Clark Gregg; Patricia Belcher; Rachel Boston; Minka Kelly; Charles Walker,"jealousy; gallery; fight; date; architect; interview; sister; love; friends; fate; los angeles, california; summer; year; heartache; assertive",Fox Searchlight Pictures; Watermark Pictures; Dune Entertainment III,en,7500000,60781545
(T)ERROR,2015.0,True,318972,(T)ERROR,2015-01-24,93,Documentary,David Felix Sutcliffe; Lyric R. Cabral,,woman director,Charlotte Street Films; BBC Storyville; ITVS; Chicken & Egg Films; Candescent Films; Tribeca Film Institute; International Documentary Association,en,0,0
'Twas the Night,Unknown,True,103014,'Twas the Night,2001-12-07,84,TV Movie; Family; Comedy,Nick Castle,Bryan Cranston; Josh Zuckerman; Jefferson Mappin; Brenda Grate; Barclay Hope; Torri Higginson; Rhys Williams; Sandy Robson; Jeff Geddis; Jung-Yul Kim,holiday; christmas,Adam Productions; Disney Channel,en,0,0
'R Xmas,Unknown,True,49110,'R Xmas,2001-12-14,85,Drama; Crime; Thriller,Abel Ferrara,Drea de Matteo; Lillo Brancato; Ice-T; Victor Argo; Denia Brache; Meredith Ostrom; Janis Corsair; Gloria Irizarry; Nelson Vasquez; Roman Rivera,drug dealer; new york city; ransom; kidnapping; christmas,Barnholtz Entertainment; StudioCanal,en,0,0
#Introductions,Unknown,True,370559,#Introductions,2015-06-03,31,Drama,Shia LaBeouf; Luke Turner; Nastja Säde Rönkkö,Shia LaBeouf,art house,,en,0,0
$,Unknown,True,31644,$,1971-12-15,121,Comedy; Crime; Drama,Richard Brooks,Warren Beatty; Goldie Hawn; Gert Fröbe; Robert Webber; Scott Brady; Arthur Brauss; Wolfgang Kieling; Christiane Maybach; Bob Herron; Hans Hutter,prostitute; drug smuggling; germany; heist; hilarious,Worldwide; Pan; Columbia Pictures,en,0,0
#Alive,2020.0,True,758534,Be Alive Just Like You,2020-12-04,91,Drama; Romance,Lai Meng-Chieh,Rexen Cheng Jen-Shuo; Ally Chiu; Jieh-Wen King; Alice Tsai-yi Huang; Cheng Chih-wei,,MM2 Entertainment,zh,0,0
"""Sr.""",Unknown,True,857832,SR Kalyanamandapam,2021-08-06,145,Comedy; Drama; Romance,Sridhar Gade,Kiran Abbavaram; Priyanka Jawalkar; Sai Kumar; Tulasi; Rajsekhar Aningi; Srikanth Iyengar; Tanikella Bharani; Thummala Narasimha Reddy; Gangavva,,Elite Entertainments,te,0,0
'71,Unknown,True,252178,'71,2014-10-10,99,Thriller; Action; Drama; War,Yann Demange,Jack O'Connell; Sean Harris; Paul Anderson; Sam Reid; Sam Hazeldine; Barry Keoghan; Charlie Murphy; Richard Dormer; Killian Scott; Babou Ceesay,"1970s; riot; northern ireland; survival; soldier; ira (irish republican army); explosion; combat; belfast, north ireland; abandoned",BFI; Screen Yorkshire; Creative Scotland; Warp Films; Crab Apple Films; Film4 Productions,en,11000000,3200000
